id,url,GED,hitSmiles,qrySmiles,tanimoto_gen_vs_to_buy,total_score,HEK_classifier,CFPAC_classifier,Custom_alerts,MW,raw_HEK_classifier,raw_CFPAC_classifier,raw_MW,valid,qryInchis,inchi_to_buy
ZINC000033078182,ZINC000033078182,5.0,Cc1cc(N2CCOCC2)nc(Nc3ccc(NS(=O)(=O)c4ccccc4)cc3)n1,c1ccc(N=c2[nH]c(N3CCOCC3)cc(C)n2)cc1NS(=O)(=O)c4cccnc4,0.35,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,425.514,1,"InChI=1S/C20H22N6O3S/c1-15-12-19(26-8-10-29-11-9-26)24-20(22-15)23-16-4-2-5-17(13-16)25-30(27,28)18-6-3-7-21-14-18/h2-7,12-14,25H,8-11H2,1H3,(H,22,23,24)","InChI=1S/C21H23N5O3S/c1-16-15-20(26-11-13-29-14-12-26)24-21(22-16)23-17-7-9-18(10-8-17)25-30(27,28)19-5-3-2-4-6-19/h2-10,15,25H,11-14H2,1H3,(H,22,23,24)"
MCULE-2230235805,https://mcule.com/MCULE-2230235805/,,C1=C(C)N=C(NC2=CC=C(C=C2)N2CCCC2)N=C1N1CCCCC1,c1cc(N=c2[nH]c(N3CCCCC3)cc(C)n2)ccc1N1CCCC1,0.7126865671641791,0.8753386,0.8424116,0.8432988,1.0,1.0,0.81,0.13909091,337.471,1,"InChI=1S/C20H27N5/c1-16-15-19(25-13-3-2-4-14-25)23-20(21-16)22-17-7-9-18(10-8-17)24-11-5-6-12-24/h7-10,15H,2-6,11-14H2,1H3,(H,21,22,23)","InChI=1S/C20H27N5/c1-16-15-19(25-13-3-2-4-14-25)23-20(21-16)22-17-7-9-18(10-8-17)24-11-5-6-12-24/h7-10,15H,2-6,11-14H2,1H3,(H,21,22,23)"
ZINC000243559244,ZINC000243559244,2.0,Cc1cc(N2CCCCC2)nc(Nc3ccc(N4CCCC4)cc3)n1,c1cc(N=c2[nH]c(N3CCCCC3)cc(C)n2)ccc1N4CCCC4,0.3050847457627119,0.8753386,0.8424116,0.8432988,1.0,1.0,0.81,0.13909091,337.471,1,"InChI=1S/C20H27N5/c1-16-15-19(25-13-3-2-4-14-25)23-20(21-16)22-17-7-9-18(10-8-17)24-11-5-6-12-24/h7-10,15H,2-6,11-14H2,1H3,(H,21,22,23)","InChI=1S/C20H27N5/c1-16-15-19(25-13-3-2-4-14-25)23-20(21-16)22-17-7-9-18(10-8-17)24-11-5-6-12-24/h7-10,15H,2-6,11-14H2,1H3,(H,21,22,23)"
MCULE-9166158967,https://mcule.com/MCULE-9166158967/,,C1=C(C)N=C(NC2=CC=C(C=C2)N2CCCCC2)N=C1N1CCCC1,c1cc(N=c2[nH]c(N3CCCCC3)cc(C)n2)ccc1N1CCCC1,0.7126865671641791,0.8753386,0.8424116,0.8432988,1.0,1.0,0.81,0.13909091,337.471,1,"InChI=1S/C20H27N5/c1-16-15-19(25-13-3-2-4-14-25)23-20(21-16)22-17-7-9-18(10-8-17)24-11-5-6-12-24/h7-10,15H,2-6,11-14H2,1H3,(H,21,22,23)","InChI=1S/C20H27N5/c1-16-15-19(25-13-5-6-14-25)23-20(21-16)22-17-7-9-18(10-8-17)24-11-3-2-4-12-24/h7-10,15H,2-6,11-14H2,1H3,(H,21,22,23)"
MCULE-2230235805,https://mcule.com/MCULE-2230235805/,,C1=C(C)N=C(NC2=CC=C(C=C2)N2CCCC2)N=C1N1CCCCC1,c1cc(N=c2[nH]c(N3CCCC3)cc(C)n2)ccc1N1CCCCC1,0.7126865671641791,0.8753386,0.8424116,0.8432988,1.0,1.0,0.81,0.13909091,337.471,1,"InChI=1S/C20H27N5/c1-16-15-19(25-13-5-6-14-25)23-20(21-16)22-17-7-9-18(10-8-17)24-11-3-2-4-12-24/h7-10,15H,2-6,11-14H2,1H3,(H,21,22,23)","InChI=1S/C20H27N5/c1-16-15-19(25-13-3-2-4-14-25)23-20(21-16)22-17-7-9-18(10-8-17)24-11-5-6-12-24/h7-10,15H,2-6,11-14H2,1H3,(H,21,22,23)"
MCULE-9166158967,https://mcule.com/MCULE-9166158967/,,C1=C(C)N=C(NC2=CC=C(C=C2)N2CCCCC2)N=C1N1CCCC1,c1cc(N=c2[nH]c(N3CCCC3)cc(C)n2)ccc1N1CCCCC1,0.7126865671641791,0.8753386,0.8424116,0.8432988,1.0,1.0,0.81,0.13909091,337.471,1,"InChI=1S/C20H27N5/c1-16-15-19(25-13-5-6-14-25)23-20(21-16)22-17-7-9-18(10-8-17)24-11-3-2-4-12-24/h7-10,15H,2-6,11-14H2,1H3,(H,21,22,23)","InChI=1S/C20H27N5/c1-16-15-19(25-13-5-6-14-25)23-20(21-16)22-17-7-9-18(10-8-17)24-11-3-2-4-12-24/h7-10,15H,2-6,11-14H2,1H3,(H,21,22,23)"
ZINC000243714036,ZINC000243714036,2.0,Cc1cc(N2CCCC2)nc(Nc3ccc(N4CCCCC4)cc3)n1,c1cc(N=c2[nH]c(N3CCCC3)cc(C)n2)ccc1N4CCCCC4,0.3050847457627119,0.8753386,0.8424116,0.8432988,1.0,1.0,0.81,0.13909091,337.471,1,"InChI=1S/C20H27N5/c1-16-15-19(25-13-5-6-14-25)23-20(21-16)22-17-7-9-18(10-8-17)24-11-3-2-4-12-24/h7-10,15H,2-6,11-14H2,1H3,(H,21,22,23)","InChI=1S/C20H27N5/c1-16-15-19(25-13-5-6-14-25)23-20(21-16)22-17-7-9-18(10-8-17)24-11-3-2-4-12-24/h7-10,15H,2-6,11-14H2,1H3,(H,21,22,23)"
MCULE-2455836955,https://mcule.com/MCULE-2455836955/,,S(=O)(=O)(C1=CC=CC(F)=C1)NC1C=CC(=CC=1)NC1=NC(C)=CC(N2CCOCC2)=N1,c1ccc(N=c2[nH]c(N3CCOCC3)cc(C)n2)cc1NS(=O)(c1ccc(Cl)cc1)=O,0.7076271186440678,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,443.504,1,"InChI=1S/C21H22ClN5O3S/c1-15-13-20(27-9-11-30-12-10-27)25-21(23-15)24-17-3-2-4-18(14-17)26-31(28,29)19-7-5-16(22)6-8-19/h2-8,13-14,26H,9-12H2,1H3,(H,23,24,25)","InChI=1S/C21H22FN5O3S/c1-15-13-20(27-9-11-30-12-10-27)25-21(23-15)24-17-5-7-18(8-6-17)26-31(28,29)19-4-2-3-16(22)14-19/h2-8,13-14,26H,9-12H2,1H3,(H,23,24,25)"
MCULE-8388595355,https://mcule.com/MCULE-8388595355/,,S(=O)(=O)(C1C=CC(=CC=1)F)NC1=CC=C(C=C1)NC1=NC(C)=CC(N2CCOCC2)=N1,c1ccc(N=c2[nH]c(N3CCOCC3)cc(C)n2)cc1NS(=O)(c1ccc(Cl)cc1)=O,0.7102272727272727,0.8478343,0.85878396,0.6961288,1.0,1.0,0.83,0.17,443.504,1,"InChI=1S/C21H22ClN5O3S/c1-15-13-20(27-9-11-30-12-10-27)25-21(23-15)24-17-3-2-4-18(14-17)26-31(28,29)19-7-5-16(22)6-8-19/h2-8,13-14,26H,9-12H2,1H3,(H,23,24,25)","InChI=1S/C21H22FN5O3S/c1-15-14-20(27-10-12-30-13-11-27)25-21(23-15)24-17-4-6-18(7-5-17)26-31(28,29)19-8-2-16(22)3-9-19/h2-9,14,26H,10-13H2,1H3,(H,23,24,25)"
ZINC000017013744,ZINC000017013744,5.0,Cc1cc(N2CCOCC2)nc(Nc3ccc(NS(=O)(=O)c4ccc(F)cc4)cc3)n1,c1ccc(N=c2[nH]c(N3CCOCC3)cc(C)n2)cc1NS(=O)(c4ccc(Cl)cc4)=O,0.3095238095238095,0.8478343,0.85878396,0.6961288,1.0,1.0,0.83,0.17,443.504,1,"InChI=1S/C21H22ClN5O3S/c1-15-13-20(27-9-11-30-12-10-27)25-21(23-15)24-17-3-2-4-18(14-17)26-31(28,29)19-7-5-16(22)6-8-19/h2-8,13-14,26H,9-12H2,1H3,(H,23,24,25)","InChI=1S/C21H22FN5O3S/c1-15-14-20(27-10-12-30-13-11-27)25-21(23-15)24-17-4-6-18(7-5-17)26-31(28,29)19-8-2-16(22)3-9-19/h2-9,14,26H,10-13H2,1H3,(H,23,24,25)"
