id,url,GED,hitSmiles,qrySmiles,tanimoto_gen_vs_to_buy,total_score,HEK_classifier,CAPAN_classifier,Custom_alerts,MW,raw_HEK_classifier,raw_CAPAN_classifier,raw_MW,valid,qryInchis,inchi_to_buy
MCULE-8278623228,https://mcule.com/MCULE-8278623228/,,N1=C(C=C(N=C1NC1=CC=C(C=C1)NC(C1=CC=CC=C1)=O)C)N1CCCCC1,c1cc(N=c2nc(C)cc(N3CCCCC3)[nH]2)ccc1NC(=O)c1ccccc1,0.7444253859348199,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,387.487,1,"InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)","InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)"
ZINC000017013516,ZINC000017013516,2.0,Cc1cc(N2CCCCC2)nc(Nc3ccc(NC(=O)c4ccccc4)cc3)n1,c1cc(N=c2nc(C)cc(N3CCCCC3)[nH]2)ccc1NC(=O)c4ccccc4,0.4264705882352941,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,387.487,1,"InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)","InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)"
MCULE-1329927232,https://mcule.com/MCULE-1329927232/,,N1=C(C=C(N=C1NC1C=CC(=CC=1)NC(=O)C1C=CC(=CC=1)C)C)N1CCCCC1,c1cc(N=c2[nH]c(N3CCCCC3)cc(C)n2)ccc1NC(=O)c1ccccc1,0.725,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,401.514,1,"InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)","InChI=1S/C24H27N5O/c1-17-6-8-19(9-7-17)23(30)26-20-10-12-21(13-11-20)27-24-25-18(2)16-22(28-24)29-14-4-3-5-15-29/h6-13,16H,3-5,14-15H2,1-2H3,(H,26,30)(H,25,27,28)"
ZINC000009573351,ZINC000009573351,3.0,Cc1ccc(C(=O)Nc2ccc(Nc3nc(C)cc(N4CCCCC4)n3)cc2)cc1,c1cc(N=c2[nH]c(N3CCCCC3)cc(C)n2)ccc1NC(=O)c4ccccc4,0.3561643835616438,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,401.514,1,"InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)","InChI=1S/C24H27N5O/c1-17-6-8-19(9-7-17)23(30)26-20-10-12-21(13-11-20)27-24-25-18(2)16-22(28-24)29-14-4-3-5-15-29/h6-13,16H,3-5,14-15H2,1-2H3,(H,26,30)(H,25,27,28)"
MCULE-1329927232,https://mcule.com/MCULE-1329927232/,,N1=C(C=C(N=C1NC1C=CC(=CC=1)NC(=O)C1C=CC(=CC=1)C)C)N1CCCCC1,c1cc(N=c2nc(C)cc(N3CCCCC3)[nH]2)ccc1NC(=O)c1ccccc1,0.725,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,401.514,1,"InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)","InChI=1S/C24H27N5O/c1-17-6-8-19(9-7-17)23(30)26-20-10-12-21(13-11-20)27-24-25-18(2)16-22(28-24)29-14-4-3-5-15-29/h6-13,16H,3-5,14-15H2,1-2H3,(H,26,30)(H,25,27,28)"
ZINC000009573351,ZINC000009573351,3.0,Cc1ccc(C(=O)Nc2ccc(Nc3nc(C)cc(N4CCCCC4)n3)cc2)cc1,c1cc(N=c2nc(C)cc(N3CCCCC3)[nH]2)ccc1NC(=O)c4ccccc4,0.3561643835616438,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,401.514,1,"InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)","InChI=1S/C24H27N5O/c1-17-6-8-19(9-7-17)23(30)26-20-10-12-21(13-11-20)27-24-25-18(2)16-22(28-24)29-14-4-3-5-15-29/h6-13,16H,3-5,14-15H2,1-2H3,(H,26,30)(H,25,27,28)"
MCULE-3251425194,https://mcule.com/MCULE-3251425194/,,N1=C(C=C(N=C1NC1C=CC(=CC=1)NC(=O)C1C=CC(=CC=1)C)C)N1CCCC1,c1cc(N=c2[nH]c(N3CCCCC3)cc(C)n2)ccc1NC(c1ccc(C)cc1)=O,0.7308970099667774,0.86568725,0.92514676,0.63474333,1.0,1.0,0.94,0.18,387.487,1,"InChI=1S/C24H27N5O/c1-17-6-8-19(9-7-17)23(30)26-20-10-12-21(13-11-20)27-24-25-18(2)16-22(28-24)29-14-4-3-5-15-29/h6-13,16H,3-5,14-15H2,1-2H3,(H,26,30)(H,25,27,28)","InChI=1S/C23H25N5O/c1-16-5-7-18(8-6-16)22(29)25-19-9-11-20(12-10-19)26-23-24-17(2)15-21(27-23)28-13-3-4-14-28/h5-12,15H,3-4,13-14H2,1-2H3,(H,25,29)(H,24,26,27)"
ZINC000033078134,ZINC000033078134,3.0,Cc1ccc(C(=O)Nc2ccc(Nc3nc(C)cc(N4CCCC4)n3)cc2)cc1,c1cc(N=c2[nH]c(N3CCCCC3)cc(C)n2)ccc1NC(c4ccc(C)cc4)=O,0.4285714285714285,0.86568725,0.92514676,0.63474333,1.0,1.0,0.94,0.18,387.487,1,"InChI=1S/C24H27N5O/c1-17-6-8-19(9-7-17)23(30)26-20-10-12-21(13-11-20)27-24-25-18(2)16-22(28-24)29-14-4-3-5-15-29/h6-13,16H,3-5,14-15H2,1-2H3,(H,26,30)(H,25,27,28)","InChI=1S/C23H25N5O/c1-16-5-7-18(8-6-16)22(29)25-19-9-11-20(12-10-19)26-23-24-17(2)15-21(27-23)28-13-3-4-14-28/h5-12,15H,3-4,13-14H2,1-2H3,(H,25,29)(H,24,26,27)"
MCULE-8278623228,https://mcule.com/MCULE-8278623228/,,N1=C(C=C(N=C1NC1=CC=C(C=C1)NC(C1=CC=CC=C1)=O)C)N1CCCCC1,c1cc(N=c2[nH]c(N3CCCCC3)cc(C)n2)ccc1NC(c1ccc(C)cc1)=O,0.725,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,387.487,1,"InChI=1S/C24H27N5O/c1-17-6-8-19(9-7-17)23(30)26-20-10-12-21(13-11-20)27-24-25-18(2)16-22(28-24)29-14-4-3-5-15-29/h6-13,16H,3-5,14-15H2,1-2H3,(H,26,30)(H,25,27,28)","InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)"
ZINC000017013516,ZINC000017013516,3.0,Cc1cc(N2CCCCC2)nc(Nc3ccc(NC(=O)c4ccccc4)cc3)n1,c1cc(N=c2[nH]c(N3CCCCC3)cc(C)n2)ccc1NC(c4ccc(C)cc4)=O,0.3561643835616438,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,387.487,1,"InChI=1S/C24H27N5O/c1-17-6-8-19(9-7-17)23(30)26-20-10-12-21(13-11-20)27-24-25-18(2)16-22(28-24)29-14-4-3-5-15-29/h6-13,16H,3-5,14-15H2,1-2H3,(H,26,30)(H,25,27,28)","InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)"
