ID,Drug Name,Targets,Z score,Count,Cell line name,SMILES,cell ID,CPD
1060,PD0325901,"MEK1, MEK2",0.548635539925118,179,HPAC,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,CVCL_3517,O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
1926,GNE-317,PI3Kalpha,0.5503304690648292,179,HPAC,CC1=C(SC2=C1N=C(N=C2N3CCOCC3)C4=CN=C(N=C4)N)C5(COC5)OC,CVCL_3517,COC1(c2sc3c(N4CCOCC4)nc(-c4cnc(N)nc4)nc3c2C)COC1
1239,YK-4-279,RNA helicase A,0.5802432717691776,179,HPAC,COC1=CC=C(C=C1)C(=O)CC2(C3=C(C=CC(=C3NC2=O)Cl)Cl)O,CVCL_3517,COc1ccc(C(=O)CC2(O)C(=O)Nc3c(Cl)ccc(Cl)c32)cc1
1855,KRAS (G12C) Inhibitor-12,KRAS (G12C),0.5834701502362584,179,HPAC,C=CC(=O)N1CCN(CC1)C(=O)CNC2=CC(=C(C=C2O)Cl)I,CVCL_3517,C=CC(=O)N1CCN(C(=O)CNc2cc(I)c(Cl)cc2O)CC1
1373,Dabrafenib,BRAF,0.597128680176909,179,HPAC,CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F,CVCL_3517,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1
1083,Crizotinib,"MET, ALK, ROS1",0.5994364141195946,179,HPAC,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,CVCL_3517,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
1620,PFI3,"Polybromo 1, SMARCA4, SMARCA2",0.6063020107666988,179,HPAC,C1[C@@H]2CN([C@H]1CN2C3=CC=CC=N3)/C=C/C(=O)C4=CC=CC=C4O,CVCL_3517,O=C(/C=C/N1C[C@H]2C[C@@H]1CN2c1ccccn1)c1ccccc1O
1401,AZD5438,CDK2,0.6531876862510683,179,HPAC,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2)NC3=CC=C(C=C3)S(=O)(=O)C,CVCL_3517,Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C
1463,AZD1332,"NTRK1, NTRK2, NTRK3",0.6597428014330443,179,HPAC,CC(C)OC1=NNC(=C1)NC2=NC(=NC=C2Cl)NC(C)C3=NC=C(C=C3)F,CVCL_3517,CC(C)Oc1cc(Nc2nc(NC(C)c3ccc(F)cn3)ncc2Cl)[nH]n1
1854,MN-64,"TNKS1, TNKS2",0.6769567266858124,179,HPAC,CC(C)C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2,CVCL_3517,CC(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1
1093,GSK1904529A,"IGF1R, IR",0.7148216279422357,179,HPAC,CCC1=CC(=C(C=C1N2CCC(CC2)N3CCN(CC3)S(=O)(=O)C)OC)NC4=NC=CC(=N4)C5=C(N=C6N5C=CC=C6)C7=CC(=C(C=C7)OC)C(=O)NC8=C(C=CC=C8F)F,CVCL_3517,CCc1cc(Nc2nccc(-c3c(-c4ccc(OC)c(C(=O)Nc5c(F)cccc5F)c4)nc4ccccn34)n2)c(OC)cc1N1CCC(N2CCN(S(C)(=O)=O)CC2)CC1
1635,Picolinici-acid,Inflammatory related,0.7173291515308161,179,HPAC,C1=CC=NC(=C1)C(=O)O,CVCL_3517,O=C(O)c1ccccn1
1799,Ibrutinib,BTK,0.7203935005127248,179,HPAC,C=CC(=O)N1CCC[C@H](C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,CVCL_3517,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
1089,Oxaliplatin,DNA alkylating agent,0.7481662784005777,179,HPAC,C1CC[C@H]([C@@H](C1)N)N.C(=O)(C(=O)O)O.[Pt],CVCL_3517,N[C@@H]1CCCC[C@H]1N
