ID,Supplier,Supplier Ref,SMILES,CLNUMBER
IRB-0012427,ChemDiv,D097-0004,CN1C(=C(NC(=O)c2ccc(cc2)Cl)c2ccccc2S1(=O)=O)C(=O)c1ccccc1,CL1460
IRB-0012428,ChemDiv,D361-0907,CCc1ccc(cc1)C1CC(=O)Nc2c1c(nn2-c1nncc(n1)-c1ccccc1)C,CL1337E
IRB-0012429,ChemDiv,D097-0006,CN1C(=C(NC(=O)c2ccccc2OC(=O)C)c2ccccc2S1(=O)=O)C(=O)c1ccccc1,CL1460
IRB-0012430,ChemDiv,D365-0066,Brc1ccccc1NC(=O)CSC1=NC2=C(CCCC2)C(=O)N1,CL7383
IRB-0012431,ChemDiv,D098-0004,CN(C)c1cc2c(cc1NC(=O)c1ccccc1)N(C)C(=O)N2C,CL5453
IRB-0012432,ChemDiv,D365-0076,O=C(CSC1=NC2=C(CCCC2)C(=O)N1)N(Cc1ccccc1)Cc1ccccc1,CL7383
IRB-0012433,ChemDiv,D269-0038,O=C(COc1ccccc1)Nc1nc(ns1)-c1ccccc1,CL7386
IRB-0012434,ChemDiv,D331-0396,Fc1ccc(cc1)S(=O)(=O)n1nc(nc1NCc1cccc(c1)Br)-c1ccco1,CL5430
IRB-0012435,ChemDiv,D269-0138,COc1ccc(cc1)-c1nsc(n1)NC(=O)COc1ccc(cc1)Br,CL7386
IRB-0012436,ChemDiv,D331-0564,Clc1cccc(c1)CNc1nc(nn1S(=O)(=O)c1ccccc1)-c1ccco1,CL5430
IRB-0012437,ChemDiv,D269-0253,Fc1ccc(cc1)-c1nsc(n1)NC(=O)c1cccs1,CL7386
IRB-0012438,ChemDiv,D331-0661,Brc1ccc(cc1)CNc1nc(nn1C(=O)c1ccco1)-c1ccco1,CL5430
IRB-0012439,ChemDiv,D269-0476,Cc1c(oc2ccccc12)C(=O)Nc1nc(ns1)-c1ccccc1,CL7386
IRB-0012440,ChemDiv,D331-0668,Brc1ccc(cc1)CNc1nc(nn1C(=O)C1CCCCC1)-c1ccco1,CL5430
IRB-0012441,ChemDiv,D269-0939,CCOc1ccc(cc1)C(=O)Nc1nonc1-c1ccc(cc1)OC(C)C,CL5346
IRB-0012442,ChemDiv,D335-0091,CN(C)C1(CCCCC1)CNC(=O)c1oc2ccc(cc2c1C)C,CL7201
IRB-0012443,ChemDiv,D274-0039,Cc1cc(nc(n1)N1CCC(CC1)NC(=O)Nc1ccc(cc1)F)C,CL5141
IRB-0012444,ChemDiv,D335-0187,CN1CCN(CC1)C1(CCCCC1)CNC(=O)c1oc2c(c(ccc2c1C)C)C,CL7201
IRB-0012445,ChemDiv,D274-0045,Cc1cc(n2ncnc2n1)N1CCC(CC1)NC(=O)Nc1ccc(cc1)F,CL7123
IRB-0012446,ChemDiv,D335-0219,CCN1CCN(CC1)C1(CCCCC1)CNC(=O)c1oc2cc(ccc2c1C)C,CL7201
IRB-0012447,ChemDiv,D274-0142,Fc1ccc(c(c1)F)NC(=O)NC1CCN(CC1)c1nc2ccccc2s1,CL5141
IRB-0012448,ChemDiv,D335-0267,CN(C)C1(CCCCC1)CNC(=O)COc1ccccc1,CL7201
IRB-0012449,ChemDiv,D098-0092,CN(C)c1cc2c(cc1NC(=O)c1ccccc1Cl)N(C)C(=O)N2C,CL5453
IRB-0012450,ChemDiv,D365-0177,Fc1ccccc1NC(=O)CSC1=NC2=C(CCC2)C(=O)N1,CL7383
IRB-0012451,ChemDiv,D100-0001,Clc1ccc(cc1)C(=O)Nc1noc2ccccc12,CL4451
IRB-0012452,ChemDiv,D365-0243,CC(SC1=NC2=C(CCC2)C(=O)N1)C(=O)Nc1ccc(cc1)Oc1ccccc1,CL7383
IRB-0012453,ChemDiv,D100-0012,Clc1ccccc1C(=O)Nc1noc2ccccc12,CL4451
IRB-0012454,ChemDiv,D365-0258,Cc1cc(cc(c1)NC(=O)CSC1=NC2=C(CCC2)C(=O)N1)C,CL7383
IRB-0012455,ChemDiv,D101-0030,Clc1ccc(cc1)S(=O)(=O)N(Cc1nc(no1)-c1ccccc1)C1CCCCC1,CL5637A
IRB-0012456,ChemDiv,D366-0016,O=C(N1CCN(CC1)c1oc(nc1C#N)-c1ccc(o1)COc1ccccc1)c1cccs1,CL7092
IRB-0012457,ChemDiv,D101-0043,COc1ccc(cc1)-c1noc(n1)CN(C1CCCCC1)S(=O)(=O)c1ccc(cc1)OC,CL5637A
IRB-0012458,ChemDiv,D366-0255,COc1ccc(cc1)OCc1ccc(o1)-c1nc(c(o1)N1CCN(CC1)C(=O)c1ccco1)C#N,CL7092
IRB-0012459,ChemDiv,D101-0044,Fc1ccc(cc1)S(=O)(=O)N(Cc1nc(no1)-c1ccccc1)C1CCCCC1,CL5637A
IRB-0012460,ChemDiv,D370-0043,Cc1cc(cc(c1)OCC(=O)Nc1nonc1-c1ccc(cc1)Br)C,CL5346
IRB-0012461,ChemDiv,D101-0047,Fc1ccc(cc1)S(=O)(=O)N(Cc1nc(no1)-c1ccc(cc1)Cl)C1CCCCC1,CL5637A
IRB-0012462,ChemDiv,D370-0054,CCC(Oc1ccc(cc1)F)C(=O)Nc1nonc1-c1ccc(cc1)Br,CL5346
IRB-0012463,ChemDiv,D101-0089,CC(C)N(Cc1nc(no1)-c1ccccc1)C(=O)N1CCOCC1,CL5637
IRB-0012464,ChemDiv,D370-0074,Cc1ccc2c(c(oc2c1)C(=O)Nc1nonc1-c1ccc(cc1)Br)C,CL5346
IRB-0012465,ChemDiv,D274-0152,Clc1ccccc1NC(=O)NC1CCN(CC1)c1nc2ccccc2s1,CL5141
IRB-0012466,ChemDiv,D335-0279,COc1ccc(cc1)OCC(=O)NCC1(CCCCC1)N(C)C,CL7201
IRB-0012467,ChemDiv,D276-0249,Cc1cc(c(c(n1)SCC(=O)Nc1ccc(c(c1)C)C)C(=O)Nc1ccccc1C)C,CL0378
IRB-0012468,ChemDiv,D335-0282,CN(C)C1(CCCCC1)CNC(=O)COc1ccccc1Cl,CL7201
IRB-0012469,ChemDiv,D276-0317,Cc1cccc(c1)NC(=O)c1c(cc(nc1SCC(=O)NC(C)(C)C)C)C,CL0378
IRB-0012470,ChemDiv,D335-0718,COc1ccc(cc1)OCC(=O)NCC1(CCCCC1)N1CCN(C)CC1,CL7201
IRB-0012471,ChemDiv,D277-0368,Cc1ccc(c(c1)OCCCn1c(nc2ccccc12)CN1CCOCC1)C,CL5561B
IRB-0012472,ChemDiv,D335-0732,CC(Oc1ccc(cc1)F)C(=O)NCC1(CCCCC1)N1CCN(C)CC1,CL7201
IRB-0012473,ChemDiv,D277-1498,CC(C)CN(CC(C)C)C(=O)Cn1c(nc2ccccc12)CN(C)C(=O)C,CL1722
IRB-0012474,ChemDiv,D335-1140,Cc1nc(cs1)CNC(=O)c1oc2ccc(cc2c1C)Cl,CL4068A
IRB-0012475,ChemDiv,D277-1500,CN(Cc1nc2ccccc2n1CC(=O)N(C)c1ccccc1)C(=O)C,CL1722
IRB-0012476,ChemDiv,D335-1144,Cc1nc(cs1)CNC(=O)c1oc2ccc(cc2c1C)F,CL4068A
IRB-0012477,ChemDiv,D277-1506,CN(Cc1nc2ccccc2n1CC(=O)N1CCCCC1)C(=O)C,CL1722
IRB-0012478,ChemDiv,D335-2944,Cc1nc(cs1)CCNC(=O)c1oc2ccc(cc2c1C)Cl,CL4069
IRB-0012479,ChemDiv,D277-1801,CC(C)N(C(C)C)C(=O)CSc1nc2cc(ccc2[nH]1)C,CL2337
IRB-0012480,ChemDiv,D335-3043,Clc1c(sc2ccccc12)C(=O)NCCc1csc(n1)-c1ccccc1,CL4069
IRB-0012481,ChemDiv,E613-1069,CC1(C)CC2CC(C)(CN2C(=O)COCc2cc(on2)-c2ccco2)C1,CL3173
IRB-0012482,ChemDiv,G698-0423,O=C(CSC1=NC2(CCCCC2)N=C1c1cccs1)Nc1nccs1,CL5884
IRB-0012483,ChemDiv,E616-1156,CCOC(=O)N1CCC2(CC1)OC(=O)C(=C2C(=O)NCCCN1CC(C)CC(C)C1)C,CL3586B
IRB-0012484,ChemDiv,G761-3149,Clc1cccc(c1)CNC(=O)CN1C(=O)C(=O)N(CC=C)c2ccccc21,CL7319
IRB-0012485,ChemDiv,E679-0633,[O-][N+](=O)c1ccc(cc1)N1CCN(CC1)c1ncnc2n3c(nc12)CCCCC3,CL5424B
IRB-0012486,ChemDiv,G817-1588,COc1ccc2c(c1)C(CC1(CCCCCC1)O2)OC(=O)C1=CN(CC(C)C)C(=O)c2ccccc21,CL1446
IRB-0012487,ChemDiv,E726-0240,CCOC(=O)c1cnc(nc1N)SCC(=O)NC(C)(C)C,CL5254
IRB-0012488,ChemDiv,G856-4875,CC(C)(C)C(=O)N1CCC2(CC1)OCCN2S(=O)(=O)c1cccs1,CL5116
IRB-0012489,ChemDiv,E738-0005,NC1=C(C#N)C(C2=C(O1)c1ccccc1N(Cc1ccccc1)S2(=O)=O)c1ccc(cc1)Cl,CL5187
IRB-0012490,ChemDiv,G885-0065,Brc1ccc(s1)S(=O)(=O)N1CCC(CC1)c1ccncc1,CL4644
IRB-0012491,ChemDiv,E738-0006,COc1ccccc1C1C(=C(N)OC2=C1S(=O)(=O)N(Cc1ccccc1)c1ccccc12)C#N,CL5187
IRB-0012492,ChemDiv,G894-0115,CCOCCCNC(=O)C1(C)CCC(=O)N1c1cc(c(cc1OC)OC)Cl,CL2049
IRB-0012493,ChemDiv,E738-0011,NC1=C(C#N)C(C2=C(O1)c1ccccc1N(Cc1ccccc1)S2(=O)=O)c1ccccc1,CL5187
IRB-0012494,ChemDiv,G894-0116,CCOCCCNC(=O)C1(C)CCC(=O)N1c1ccc(cc1C)Cl,CL2049
IRB-0012495,ChemDiv,E738-0012,NC1=C(C#N)C(C2=C(O1)c1ccccc1N(Cc1ccccc1)S2(=O)=O)c1ccc(cc1)O,CL5187
IRB-0012496,ChemDiv,G894-0118,CCOCCCNC(=O)C1(C)CCC(=O)N1CCc1ccc(cc1)Cl,CL2049
IRB-0012497,ChemDiv,6321-0185,CCOc1ccc(cc1)[C@H]1C[C@H](Nc2ncnn21)c1ccccc1Cl,CL0949
IRB-0012498,ChemDiv,E963-0240,Cc1ccc(c(c1)CN1C(=O)C2(N(C(=O)CS2(=O)=O)c2ccc(c(c2)Cl)C)c2ccccc21)C,CL6065
IRB-0012499,ChemDiv,6321-0194,CCOc1ccccc1[C@H]1C[C@H](Nc2ncnn21)c1ccccc1,CL0949
IRB-0012500,ChemDiv,E963-0241,Cc1ccc(c(c1)CN1C(=O)C2(N(C(=O)CS2(=O)=O)c2ccc(c(c2)F)C)c2ccccc21)C,CL6065
IRB-0012501,ChemDiv,6321-0197,CCOc1ccccc1[C@H]1C[C@H](Nc2ncnn21)c1ccccc1Cl,CL0949
IRB-0012502,ChemDiv,E963-0243,Cc1cccc(c1)N1C(=O)CS(=O)(=O)C11C(=O)N(Cc2cc(ccc2C)C)c2ccccc21,CL6065
IRB-0012503,ChemDiv,6321-0299,COc1ccc(cc1)[C@@H]1C[C@H](c2ccccc2)n2nc(nc2N1)N,CL0949
IRB-0012504,ChemDiv,E963-0244,Cc1ccc(cc1)N1C(=O)CS(=O)(=O)C11C(=O)N(Cc2cc(ccc2C)C)c2ccccc21,CL6065
IRB-0012505,ChemDiv,6321-0302,CCc1ccc(cc1)[C@@H]1C[C@H](c2ccccc2)n2nc(nc2N1)N,CL0949
IRB-0012506,ChemDiv,E963-0248,CCc1cccc(c1)N1C(=O)CS(=O)(=O)C11C(=O)N(Cc2cc(ccc2C)C)c2ccccc21,CL6065
IRB-0012507,ChemDiv,6321-0303,CCOc1ccc(cc1)[C@@H]1C[C@H](c2ccccc2)n2nc(nc2N1)N,CL0949
IRB-0012508,ChemDiv,E963-0249,CCc1ccc(cc1)N1C(=O)CS(=O)(=O)C11C(=O)N(Cc2cc(ccc2C)C)c2ccccc21,CL6065
IRB-0012509,ChemDiv,6321-0310,COc1cccc(c1)[C@@H]1C[C@H](c2ccccc2Cl)n2nc(nc2N1)N,CL0949
IRB-0012510,ChemDiv,E963-0250,Fc1cccc(c1)N1C(=O)CS(=O)(=O)C11C(=O)N(Cc2ccccc2Cl)c2ccccc21,CL6065
IRB-0012511,ChemDiv,6321-0339,CCOc1ccc(cc1)[C@@H]1C[C@H](c2ccc(cc2)Cl)n2nc(nc2N1)N,CL0949
IRB-0012512,ChemDiv,E963-0254,Cc1cc(cc(c1)N1C(=O)CS(=O)(=O)C11C(=O)N(Cc2ccccc2Cl)c2ccccc21)C,CL6065
IRB-0012513,ChemDiv,E738-0015,NC1=C(C#N)C(C2=C(O1)c1ccccc1N(Cc1ccccc1)S2(=O)=O)c1ccc(cc1)F,CL5187
IRB-0012514,ChemDiv,G894-0143,CCOCCCNC(=O)C1(C)CCC(=O)N1c1ccc(cc1C)C,CL2049
IRB-0012515,ChemDiv,E738-0018,NC1=C(C#N)C(C2=C(O1)c1ccccc1N(Cc1ccccc1)S2(=O)=O)c1ccccc1F,CL5187
IRB-0012516,ChemDiv,G894-0192,CCOCCCNC(=O)C1(C)CCC(=O)N1Cc1cccc(c1)Br,CL2049
IRB-0012517,ChemDiv,E738-0019,COc1ccc(cc1)C1C(=C(N)OC2=C1S(=O)(=O)N(Cc1ccccc1)c1ccccc12)C#N,CL5187
