SMILES,Supplier Ref,CLNUMBER,PLATE,Capan-2,SW1990,BxPC-3,HPAF-II,CFPAC-1,Panc10.05,AsPC-1,in_plate_selection,positives Capan-2,positives SW1990,positives BxPC-3,positives HPAF-II,positives CFPAC-1,positives Panc10.05,positives AsPC-1,# positives,positives any
COC(=O)C1=C(N)OC2=C(C(=O)CC(C)(C)C2)C1c1ccc(Cl)cc1,5948-0541,CL2204,PLATE_001,17.1374,-5.4007,-0.9888,4.7916,5.0333,-2.0768,7.0651,0,0,0,0,0,0,0,0,0,0
CCC1SC2=NC(C)=C(C(=O)OCCOC)C(c3ccc(C(C)C)cc3)N2C1=O,6187-0678,CL1457,PLATE_001,15.9095,14.8624,11.9118,12.6764,20.1353,6.6046,0.86139,0,0,0,0,0,0,0,0,0,0
COC(=O)C1=C(N)OC2=C(C(=O)CC(C)(C)C2)C1c1ccc(OC)cc1,5948-0628,CL2204,PLATE_001,-2.5411,-0.9246,-2.8783,1.8354,-8.7747,-3.4333,-3.7655,0,0,0,0,0,0,0,0,0,0
CCC1SC2=NC(C)=C(C(=O)OCCOC)C(c3ccc(Br)cc3)N2C1=O,6187-0688,CL1457,PLATE_001,8.3353,17.6765,3.9444,-1.7894,0.9663,-5.8833,-0.04107,0,0,0,0,0,0,0,0,0,0
COC(=O)C1=C(N)OC2=C(C(=O)CC(C)(C)C2)C1c1cc(Br)ccc1OC,5948-0646,CL2204,PLATE_001,15.4018,5.9972,-2.034,2.5066,7.1922,-2.4891,7.7112,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(-c2cc(C(F)(F)F)c(C#N)c(SCC)n2)cc1,6187-1103,CL1967,PLATE_001,13.4796,-7.0461,-5.1396,-5.5706,2.9179,-5.3237,-2.1449,0,0,0,0,0,0,0,0,0,0
COC(=O)C1=C(N)OC2=C(C(=O)CC(C)(C)C2)C1c1ccc(C)cc1,5948-0654,CL2204,PLATE_001,15.7291,-2.0801,-1.5929,1.4226,1.3633,-5.9871,-3.5612,0,0,0,0,0,0,0,0,0,0
CCSc1nc(-c2ccc(F)cc2)cc(C(F)(F)F)c1C#N,6187-1265,CL1967,PLATE_001,9.09,-10.5593,-1.8566,-0.0157,-5.8334,-7.3939,-2.4888,0,0,0,0,0,0,0,0,0,0
CCc1ccc(C2C(C(=O)OC)=C(N)OC3=C2C(=O)CC(C)(C)C3)cc1,5948-0705,CL2204,PLATE_001,9.7603,-1.5815,-3.39,-0.7464,-6.5535,-6.2255,-3.9626,0,0,0,0,0,0,0,0,0,0
CCCCCOc1ccc(C2C(C(=O)OCC)=C(C)N=C3SC(C)C(=O)N32)cc1,6187-2665,CL1457,PLATE_001,6.4465,9.4119,5.3932,5.5917,3.2526,-4.2669,6.0796,0,0,0,0,0,0,0,0,0,0
Cc1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)c(C)c1,3970-0878,CL2489,PLATE_001,6.8124,-10.2999,-0.7528,7.6273,10.1509,4.2594,10.686,0,0,0,0,0,0,0,0,0,0
COc1ccccc1OCCn1cc(C(=O)C2CC2)c2ccccc21,6655-0406,CL4748,PLATE_001,5.9847,13.6489,-1.5826,6.8161,1.1503,1.7727,11.735,0,0,0,0,0,0,0,0,0,0
Cc1ccc(N2COc3ccc4cc(Br)ccc4c3C2)cc1,3976-0221,CL2850,PLATE_001,2.9065,-7.8085,-5.3158,2.6441,10.7913,-0.6066,6.2047,1,0,0,0,0,0,0,0,0,0
COc1ccc(OCCn2cc(C(=O)C3CC3)c3ccccc32)cc1,6655-0409,CL4748,PLATE_001,12.1016,1.1464,3.0428,6.3593,13.4573,8.4856,2.1885,0,0,0,0,0,0,0,0,0,0
O=C1c2cccc3cccc(c23)C(=O)N1c1ccc2c3c(cccc13)CC2,3977-1358,CL0395,PLATE_001,6.163,-6.3144,-1.6932,3.4882,-0.4377,1.7261,2.6752,0,0,0,0,0,0,0,0,0,0
Cc1ccc2c(c1)c1c(n2CC(O)CNCc2ccccc2)CCCC1,6658-0003,CL1206,PLATE_001,38.0136,39.9975,6.8899,12.6674,36.0413,54.4056,14.615,0,1,1,0,0,1,1,0,4,1
O=C(CSc1nnc2sc3ccccc3n12)c1ccc2ccccc2c1,3993-1822,CL2824,PLATE_001,5.0257,9.4233,-4.2157,5.1989,9.4786,-2.4682,3.0439,0,0,0,0,0,0,0,0,0,0
Cc1ccc(NCC(O)Cn2c3c(c4cc(C)ccc42)CCCC3)cc1,6658-0028,CL1206,PLATE_001,14.1436,14.2794,-1.7943,9.0731,13.9615,3.5468,-5.4918,1,0,0,0,0,0,0,0,0,0
Cc1ccc(CSc2ncnc3sc4c(c23)CCC4)cc1,3993-2044,CL1993,PLATE_001,-0.6064,1.0884,0.7592,-1.4196,-6.2391,-6.3675,0.69861,0,0,0,0,0,0,0,0,0,0
Cc1ccc2c(c1)c1c(n2CC(O)CN2CCCCC2C)CCCC1,6658-0048,CL1206,PLATE_001,20.0624,21.2029,-3.5476,3.4972,7.9659,4.9248,-8.0995,0,0,0,0,0,0,0,0,0,0
N#Cc1c(NC(=O)CSc2ncnc3sc4c(c23)CCC4)sc2c1CCC2,3993-2906,CL1993,PLATE_001,-1.679,2.4391,-1.3433,1.1208,-0.884,-13.4246,5.2175,1,0,0,0,0,0,0,0,0,0
OCCCc1nc2ccccc2n1CCCCOc1ccc(Cl)cc1,6665-1181,CL5561C,PLATE_001,9.3277,8.8719,-3.1944,7.7017,13.0298,7.2947,6.801,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(-c2cc(OCC)c3c(C)oc(C)c3c(=O)c2)cc1,3998-0003,CL1095,PLATE_001,10.7475,-2.8039,0.0536,1.2522,-3.5181,-4.6845,-9.0246,0,0,0,0,0,0,0,0,0,0
O=C(O)CC(O)c1nc2ccccc2[nH]1,6665-1195,CL7367,PLATE_001,9.3882,-9.9974,2.8492,-1.471,-6.797,-6.3785,-8.3957,1,0,0,0,0,0,0,0,0,0
CCCOc1ccc(-c2cc(OCC)c3c(C)oc(C)c3c(=O)c2)cc1,3998-0004,CL1095,PLATE_001,3.9583,3.6413,2.6673,2.0443,1.9602,-3.7891,-7.5929,0,0,0,0,0,0,0,0,0,0
Cc1cc(C)n2c(SC3CCCCC3NS(=O)(=O)c3ccccc3)nnc2n1,6691-0354,CL2925,PLATE_001,-3.7972,10.4681,2.0409,2.5841,-3.4413,-1.8986,3.5676,0,0,0,0,0,0,0,0,0,0
COC(=O)C1=C(N)OC2=C(C(=O)CC(C)(C)C2)C1c1ccc(SC)cc1,5948-0706,CL2204,PLATE_001,1.3544,-0.63,0.4633,6.9016,8.7759,7.75,2.9791,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(C2C(C(=O)OCCOC)=C(C)N=C3SC(C)C(=O)N32)cc1,6187-2678,CL1457,PLATE_001,10.1158,-5.428,-2.339,2.0393,7.043,-6.9108,11.771,0,0,0,0,0,0,0,0,0,0
CCOC(=O)C1C(=O)C=C(c2cccs2)CC1c1ccco1,5959-0266,CL2865,PLATE_001,-4.4112,1.1701,-8.5811,-0.6444,-0.5609,2.6598,0.40573,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(C2C(C(=O)OCC(C)C)=C(C)N=C3SC(C)C(=O)N32)cc1,6187-2720,CL1457,PLATE_001,7.2919,-0.5957,-6.5542,0.7949,13.2588,-4.3675,-6.4203,0,0,0,0,0,0,0,0,0,0
COC(=O)COc1ccc2c(=O)c(Oc3cc(C)cc(C)c3C)coc2c1,5976-2368,CL0438,PLATE_001,-2.0772,-2.5691,-5.4854,7.0525,-5.1988,-4.1868,4.9047,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(C2C(C(=O)OC(C)C)=C(C)N=C3SC(CC)C(=O)N32)cc1,6187-2741,CL1457,PLATE_001,18.3549,0.1052,10.9916,6.7647,4.1553,10.8303,-5.4641,0,0,0,0,0,0,0,0,0,0
COC(=O)C1=C(N)OC2=C(C(=O)CCC2)C1c1ccc(C)cc1,5983-0895,CL0716,PLATE_001,6.6373,4.2067,-3.5142,-3.4716,-2.7328,-3.9829,9.2487,0,0,0,0,0,0,0,0,0,0
COC(=O)CSc1nnc(C)c(O)n1,6188-0224,CL5280,PLATE_001,3.116,-2.1355,-6.2393,1.1073,14.3469,-3.2405,5.2297,0,0,0,0,0,0,0,0,0,0
COC(=O)C1=C(N)OC2=C(C(=O)CCC2)C1c1ccc(SC)cc1,5983-0947,CL0716,PLATE_001,-7.1006,-1.286,-0.5081,3.6601,2.1051,-5.679,-4.8495,0,0,0,0,0,0,0,0,0,0
Cc1ccc(-c2c(C#N)c(N)nc3c2CCCC3)o1,6233-0418,CL1954,PLATE_001,9.507,-2.7274,-6.4572,-4.9039,4.9087,-10.1588,6.0474,0,0,0,0,0,0,0,0,0,0
CCOc1ccc2sc(NC(=O)NCCN3C(=O)C4C5C=CC(C5)C4C3=O)nc2c1,5988-0030,CL2215,PLATE_001,-3.7565,-3.7026,-4.675,-2.1237,19.6933,-5.3861,-2.4135,0,0,0,0,0,0,0,0,0,0
Cc1ccc(-c2c(C#N)c(N)nc3c2CC(C)CC3)o1,6233-1094,CL1954,PLATE_001,3.8176,5.9761,-5.6187,-7.3068,8.5484,-14.2635,0.40795,0,0,0,0,0,0,0,0,0,0
